RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
13 46 19.64,64 0 26.92,0.014,1.7,2.13,0.148,3.63,1.55,51,6.51,5.62,51,13480+63562M
7 15 12.142,64 0 26.85,0.014,3.99,4.33,0.149,1.88,1.23,155.4,5.72,5.54,155.4,07180+63562J
12 43 41.608,64 0 26.06,0.014,16.38,20.94,0.148,4.17,0.85,51.1,6.82,5.47,51.1,12420+63562M
12 55 9.507,64 0 25.55,0.014,4.18,4.32,0.142,1.53,0,165.4,5.61,5.36,165.4,12540+63562R
11 56 36.014,64 0 25.52,0.014,25.13,27,0.149,1.48,1.47,180,5.6,5.6,180,11540+63562M
15 20 35.539,64 0 24.49,0.014,2.42,2.63,0.146,2.64,0,11.7,6.01,5.28,11.7,15180+63562M
11 16 1.111,64 0 23.16,0.102,1.2,1.15,0.149,3.3,0,21.2,6.33,4.42,21.2,11180+63562M
15 31 7.215,64 0 23.01,0.014,4,3.49,0.142,0,0,58.6,5.17,4.9,58.6,15300+63562M
7 38 34.724,64 0 19.94,0.014,2.16,1.5,0.147,0,0,5.5,4.75,4.28,5.5,07360+63562J
9 9 21.789,64 0 19.92,0.014,6.74,13.52,0.151,5.63,5.2,173.4,7.8,7.49,173.4,09120+63562J
9 16 24.537,64 0 18.39,0.014,9.51,9.73,0.148,1.52,0,1.1,5.61,5.32,1.1,09180+63562J
10 37 43.679,64 0 17.73,0.014,5.77,7.86,0.146,3.49,3,126.6,6.43,6.18,126.6,10360+63562M
12 46 15.671,64 0 17.31,0.014,12.7,13.27,0.148,1.59,0.36,2.2,5.63,5.41,2.2,12480+63562R
13 57 31.305,64 0 16.72,0.014,1.78,1.43,0.15,0,0,48.2,5.2,4.5,48.2,14000+63562M
7 39 11.129,64 0 15,0.06,1.13,0.72,0.147,0,0,89.6,4.38,4.22,89.6,07420+63562J
15 51 46.173,64 0 13.94,0.014,9.75,10.24,0.153,1.71,0.32,12.6,5.66,5.41,12.6,15540+63562M
10 45 6.243,64 0 13.84,0.014,8.88,8.89,0.146,1.52,0,33.6,5.61,5.21,33.6,10480+63562M
8 4 34.892,64 0 13.82,0.789,1.09,0.83,0.162,2.05,0,28.9,5.78,3.86,28.9,08060+63562J
9 52 37.678,64 0 13.52,0.014,1.68,1.48,0.146,2.73,0,125.1,6.05,4.27,125.1,09540+63562M
9 9 20.615,64 0 12.71,0.877,1.05,1.98,0.151,8.73,0,57.8,10.26,5.35,57.8,09120+63562J
8 15 23.25,64 0 11.16,0.014,1.51,1.21,0.149,1.31,0,166.1,5.56,4.21,166.1,08180+63562R
12 43 13.695,64 0 10.87,0.801,1.01,1.34,0.143,4.14,1.81,25.7,6.8,5.7,25.7,12420+63562M
17 33 22.473,64 0 10.79,0.871,1.08,2.77,0.147,8.33,5.28,47.7,9.92,7.55,47.7,17360+63562M
9 59 6.219,64 0 10.23,0.014,2.82,3.22,0.14,3.3,0,175.9,6.33,5.26,175.9,10000+63562M
16 8 4.295,64 0 9.81,0.014,5.14,4.92,0.148,1.52,0,16.3,5.61,4.98,16.3,16060+63562M
7 36 59.423,64 0 9.59,0.014,4.61,6.63,0.14,4.92,1.95,76,7.3,5.74,76,07360+63562J
7 6 40.23,64 0 9.1,0.014,1.85,1.73,0.139,1.79,0,166.7,5.69,4.8,166.7,07060+63562J
8 55 10.542,64 0 9,0.163,1.19,0.73,0.149,0,0,92.2,4.25,4.23,92.2,08540+63562J
16 7 33.195,64 0 7.08,0.427,1.03,1.48,0.145,6.26,0,33.9,8.27,5.08,33.9,16060+63562M
9 9 19.878,64 0 5.78,0.425,1.15,1.97,0.152,5.36,3.64,87,7.61,6.51,87,09120+63562J
10 8 19.864,64 0 4.97,0.014,3.06,2.58,0.151,0.74,0,168.4,5.45,4.52,168.4,10060+63562M
8 23 27.618,64 0 4.5,0.014,6.19,6.38,0.139,1.65,0,40.1,5.65,5.33,40.1,08240+63562R
9 9 23.271,64 0 4.25,0.014,5.99,14.88,0.152,9.21,4.11,136.7,10.68,6.79,136.7,09120+63562J
9 9 40.526,64 0 4.06,0.025,1.38,0.88,0.153,0,0,34.8,4.63,4.05,34.8,09120+63562J
11 3 34.179,64 0 2.95,0.214,1.02,1.5,0.15,5.68,0.4,40.4,7.83,5.41,40.4,11060+63562M
16 26 57.116,64 0 2.75,0.014,17.27,33.73,0.148,8.24,2.05,164.7,9.86,5.78,164.7,16240+63562M
9 37 1.968,64 0 2.38,0.47,1.17,0.76,0.157,0,0,154.2,4.81,3.94,154.2,09360+63562J
14 25 54.402,64 0 2.04,0.014,2.83,2.98,0.147,1.85,0,148.3,5.71,5.38,148.3,14240+63562M
8 10 23.373,64 0 1.89,0.014,14.36,15.03,0.147,1.81,0,23.1,5.7,5.36,23.1,08120+63562J
9 45 40.232,64 0 1.6,0.014,4.85,4.94,0.152,1.83,0,148.2,5.7,5.22,148.2,09480+63562J
14 1 38.765,64 0 1.5,0.014,7.5,7.9,0.146,1.78,0.26,7.9,5.69,5.41,7.9,14000+63562M
7 31 8.754,64 0 0.88,0.014,10.01,9.52,0.142,0.98,0,15.2,5.49,5.05,15.2,07300+63562J
9 3 13.811,64 0 0.42,0.014,8.01,9.55,0.151,2.82,1.84,46.2,6.09,5.7,46.2,09060+63562J
12 12 3.067,63 59 59.9,0.049,2.18,3.5,0.186,5.04,3.31,106.7,7.39,6.33,106.7,12120+63562M
8 52 58.389,63 59 59.83,0.014,4.11,4.63,0.153,2.71,0.71,24.7,6.04,5.45,24.7,08540+63562J
10 9 21.759,63 59 59.65,0.096,1.1,1.1,0.149,1.13,0,179.8,5.52,5.25,179.8,10120+63562M
9 17 34.822,63 59 59.26,0.02,1.07,2.1,0.14,7.39,3.18,158.4,9.15,6.27,158.4,09180+63562J
9 59 24.424,63 59 59.14,0.014,11.28,12.16,0.139,1.75,1.22,130.5,5.68,5.54,130.5,10000+63562M
13 4 7.147,63 59 59.04,0.014,1.61,1.37,0.149,0,0,39.4,5.26,4.71,39.4,13060+63562M
11 35 8.468,63 59 59.01,0.014,4.51,5.4,0.139,3.44,0.79,118.7,6.4,5.46,118.7,11360+63562M
10 32 20.092,63 59 58.77,0.014,2.79,4.62,0.15,5.91,2.72,71.1,8,6.05,71.1,10300+63562M
13 32 37.388,63 59 58.77,0.014,1.4,1.64,0.148,6.16,0,26,8.19,4.19,26,13300+63562N
10 52 56.182,63 59 58.65,0.014,1.14,1.24,0.139,4.41,0,88.1,6.97,4.53,88.1,10540+63562M
8 14 42.334,63 59 57.74,0.014,1.42,2.23,0.15,6.1,1.56,73,8.15,5.62,73,08120+63562J
16 29 18.39,63 59 57.49,0.014,2.37,2.18,0.14,1.61,0,140.3,5.63,4.77,140.3,16300+63562M
13 29 27.069,63 59 56.8,0.014,1.98,2.53,0.138,4.48,0,80.2,7.01,5.3,80.2,13300+63562N
11 39 11.732,63 59 56.24,0.141,1.13,0.96,0.151,1.56,0,164.2,5.62,4.38,164.2,11420+63562M
10 37 43.473,63 59 56.14,0.014,2.02,3.02,0.146,4.97,2.52,10.9,7.34,5.96,10.9,10360+63562M
8 23 20.129,63 59 55.94,0.014,14.11,14.79,0.138,2.05,0,25,5.78,5.29,25,08240+63562R
10 30 52.668,63 59 55.92,0.014,1.23,1.2,0.139,0.63,0,0.1,5.44,5.25,0.1,10300+63562M
16 43 33.768,63 59 55.45,0.014,4.43,4.75,0.146,2.75,0,8.6,6.06,5.16,8.6,16420+63562M
9 41 59.097,63 59 54.69,0.014,1.76,2.17,0.136,4.12,0,166.8,6.79,5.3,166.8,09420+63562J
9 15 20.928,63 59 54.39,0.014,10.59,12.85,0.151,3.71,0.13,139,6.55,5.4,139,09180+63562J
11 35 10.524,63 59 54.17,0.014,1.68,5.57,0.138,15.12,2.69,93,16.06,6.03,93,11360+63562M
9 8 40.424,63 59 53.95,0.014,28.68,30.83,0.152,1.69,1.24,36.2,5.66,5.54,36.2,09060+63562J
15 54 9.892,63 59 53.63,0.267,1.13,1,0.138,3.44,0,46.3,6.4,3.99,46.3,15540+63562M
17 43 36.782,63 59 53.14,0.014,1.64,1.05,0.146,0,0,18.9,4.86,3.83,18.9,17420+63562M
14 54 7.542,63 59 52.5,0.014,2.6,2.22,0.137,0,0,24.9,5.38,4.63,24.9,14540+63562R
11 35 11.865,63 59 51.88,0.014,11.66,16.94,0.138,5.42,1.22,103.1,7.65,5.54,103.1,11360+63562M
16 54 57.748,63 59 51.47,0.244,1,1.16,0.138,7.48,0,38.6,9.22,3.68,38.6,16540+63562M
8 37 38.609,63 59 51.12,0.017,1.3,0.93,0.147,0,0,20.6,5.17,4.04,20.6,08360+63562J
14 11 15.868,63 59 50.46,0.014,1.61,1.61,0.136,2.55,0,173.1,5.97,4.87,173.1,14120+63562R
10 32 14.552,63 59 50.21,0.014,16.91,17.86,0.15,1.67,0.72,54.5,5.65,5.45,54.5,10300+63562M
9 9 17.865,63 59 49.57,0.014,46.25,89.36,0.152,5.59,4.84,70.5,7.77,7.25,70.5,09120+63562J
13 10 35.871,63 59 48.81,0.394,1.1,14.97,0.147,21.6,16.92,3.9,22.26,17.76,3.9,13120+63562M
11 10 55.231,63 59 48.61,0.014,5.69,11.57,0.139,6.32,4.67,58.2,8.31,7.14,58.2,11120+63562M
11 10 53.766,63 59 48.2,0.014,6.44,10.63,0.139,4.85,3.85,116.3,7.26,6.63,116.3,11120+63562M
9 15 21.833,63 59 46.92,0.014,7.12,7.85,0.152,2.41,0.61,161.4,5.91,5.43,161.4,09180+63562J
15 1 50.593,63 59 46.65,0.014,2.39,5.76,0.149,6.81,6.03,59.9,8.69,8.1,59.9,15000+63562M
14 28 5.332,63 59 46.52,0.014,1.82,1.8,0.147,3.13,0,24.8,6.24,4.61,24.8,14300+63562M
14 20 17.675,63 59 45.96,0.014,6.4,7.14,0.152,2.45,0.97,45.6,5.93,5.49,45.6,14180+63562R
7 0 18.395,63 59 45.79,0.014,1.15,0.86,0.138,0,0,90,4.68,4.63,90,07000+63562J
11 34 11.032,63 59 45.59,0.016,1.55,2.15,0.15,3.96,2.65,10.9,6.7,6.02,10.9,11360+63562M
14 13 42.089,63 59 44.75,0.014,6.19,7.44,0.145,3.28,1.3,163.6,6.32,5.56,163.6,14120+63562R
12 40 40.802,63 59 44.43,0.039,1.23,1.31,0.143,3.14,0,13.4,6.25,4.92,13.4,12420+63562M
7 28 43.299,63 59 43.87,0.014,1.34,0.85,0.144,0,0,12.9,4.77,3.87,12.9,07300+63562J
15 51 1.589,63 59 43.84,0.416,1.75,1.47,0.153,4.31,0,6.6,6.91,3.54,6.6,15540+63562M
9 25 2.765,63 59 43.75,0.014,1.91,1.84,0.143,2.15,0,56.5,5.81,4.84,56.5,09240+63562J
7 5 27.551,63 59 43.7,0.014,7.32,7.52,0.139,1.37,0,36.9,5.57,5.37,36.9,07060+63562J
12 45 14.635,63 59 42.71,0.102,1.28,2.25,0.152,6.26,3.06,53.6,8.27,6.2,53.6,12480+63562R
12 48 20.26,63 59 41.46,0.014,4.31,4.7,0.137,1.89,1.33,147.4,5.72,5.56,147.4,12480+63562R
17 29 14.13,63 59 41.43,0.014,4.73,4.68,0.136,1.35,0,58.8,5.57,5.18,58.8,17300+63562M
8 5 42.76,63 59 41.19,0.149,1.12,1.26,0.141,2.01,1.64,90.5,5.76,5.64,90.5,08060+63562J
14 20 18.071,63 59 40.5,0.014,4.8,6.71,0.152,4.13,2.61,46.3,6.8,6,46.3,14180+63562R
9 32 11.034,63 59 40.45,0.014,7.66,6.8,0.192,0,0,7.4,5.15,5.03,7.4,09300+63562J
15 38 58.606,63 59 40.35,0.014,8.71,10.37,0.148,3.73,0,33.8,6.56,5.29,33.8,15360+63562M
9 25 2.001,63 59 40.16,0.163,1.12,0.81,0.143,2.15,0,122.1,5.81,3.64,122.1,09240+63562J
16 17 56.292,63 59 39.84,0.014,1.27,1.28,0.133,2.4,0,12.4,5.91,5.02,12.4,16180+63562M
7 19 50.777,63 59 39.47,0.2,1.14,1.14,0.148,2.47,0,102.5,5.94,4.89,102.5,07180+63562J
13 31 20.832,63 59 39.1,0.014,43.09,44.37,0.142,1.08,0.75,37,5.51,5.45,37,13300+63562N
9 5 33.623,63 59 37.82,0.014,9.12,9.86,0.138,2.01,0.9,114.7,5.76,5.47,114.7,09060+63562J
13 0 2.562,63 59 37.72,0.014,2.81,3.94,0.137,5.22,0.73,95,7.51,5.45,95,13000+63562M
7 5 26.826,63 59 36.86,0.014,3.4,3.51,0.139,2.32,0,1.6,5.88,5.11,1.6,07060+63562J
17 32 39.389,63 59 36.05,0.014,1.33,0.97,0.148,0,0,18.5,5.01,4.24,18.5,17300+63562M
15 1 51.619,63 59 35.95,0.014,2.19,5.51,0.149,7.25,6.02,164.7,9.04,8.09,164.7,15000+63562M
9 21 7.219,63 59 35.9,0.482,1.25,0.89,0.189,0,0,28.1,5.29,3.92,28.1,09240+63562J
17 24 19.892,63 59 35.24,0.014,1.66,1.72,0.139,3.39,0,21.3,6.38,4.74,21.3,17240+63562R
12 41 30.94,63 59 35.11,0.014,3.04,4.26,0.138,4.18,2.6,179.4,6.83,5.99,179.4,12420+63562M
17 5 51.163,63 59 34.89,0.014,4.33,4.12,0.135,0,0,155.8,5.37,5.17,155.8,17060+63562M
12 41 34.606,63 59 33.89,0.014,2.18,4.35,0.138,5.99,4.77,69.3,8.07,7.21,69.3,12420+63562M
7 26 45.842,63 59 32.34,0.014,5.42,5.43,0.151,1.69,0,0.3,5.66,5.17,0.3,07240+63562J
9 28 59.905,63 59 31.35,0.014,5.7,7.15,0.14,3.55,1.71,37.8,6.46,5.67,37.8,09300+63562J
17 1 55.61,63 59 31.08,0.014,2.19,2.03,0.147,1.06,0,4.5,5.5,4.92,4.5,17000+63562M
8 36 37.458,63 59 30.96,0.014,2.3,1.75,0.136,0,0,25.1,5.22,4.25,25.1,08360+63562J
14 58 6.43,63 59 30.74,0.014,8.16,9.95,0.149,3.37,1.46,155.5,6.36,5.59,155.5,15000+63562M
15 38 57.911,63 59 30.54,0.014,3.58,4.99,0.149,5.61,0,26.4,7.78,5.22,26.4,15360+63562M
14 25 23.155,63 59 29.34,0.014,1.41,3.84,0.142,8.4,5.88,139.4,9.99,7.98,139.4,14240+63562M
8 27 54.69,63 59 28.72,0.014,2.4,2.44,0.15,0.77,0.69,90,5.45,5.44,90,08300+63562R
7 50 43.533,63 59 26.85,0.014,1.67,1.67,0.151,3.01,0,166.1,6.18,4.73,166.1,07480+63562J
11 44 17.845,63 59 26.26,0.014,2.19,1.87,0.15,2.28,0,21.5,5.86,4.26,21.5,11420+63562M
8 35 21.896,63 59 26.14,0.014,2.94,3.75,0.135,2.92,2.75,0.2,6.14,6.06,0.2,08360+63562J
8 34 6.156,63 59 25.99,0.014,2.47,2.65,0.147,2.99,0,3.8,6.17,5.06,3.8,08360+63562J
9 58 45.053,63 59 25.55,0.014,1.88,4.41,0.142,7.13,5.39,153.4,8.94,7.63,153.4,10000+63562M
9 33 12.408,63 59 25.28,0.014,4.15,3.47,0.205,0,0,179.6,4.96,4.91,179.6,09360+63562J
9 58 43.515,63 59 25.25,0.014,11.67,14.22,0.143,3.02,1.96,44.9,6.19,5.74,44.9,10000+63562M
10 19 24.405,63 59 24.34,0.089,1.39,1.24,0.146,3.1,0,175.8,6.22,4.2,175.8,10180+63562M
17 29 2.307,63 59 24.32,0.014,1.96,1.98,0.137,0.62,0.6,0.2,5.44,5.43,0.2,17300+63562M
16 34 49.665,63 59 23.93,0.014,9.34,10.44,0.14,2.31,1.28,125.8,5.87,5.55,125.8,16360+63562M
10 13 28.783,63 59 22.65,0.014,1.31,1.94,0.144,8.28,0,152.7,9.89,4.36,152.7,10120+63562M
16 38 52.709,63 59 21.91,0.014,1.81,1.62,0.149,2.35,0,29.1,5.89,4.44,29.1,16360+63562M
9 33 45.881,63 59 20.61,0.108,3.15,4.57,0.204,6.82,0,27.3,8.7,4.87,27.3,09360+63562J
7 2 57.342,63 59 19.48,0.014,5.19,5.22,0.151,2.13,0,167.9,5.81,5.05,167.9,07000+63562J
7 51 41.883,63 59 19.38,0.014,8.68,8.49,0.152,1.3,0,21.2,5.55,5.14,21.2,07540+63562J
16 35 57.6,63 59 18.42,0.014,1.28,1.65,0.135,5.58,0,143.1,7.76,4.87,143.1,16360+63562M
14 53 53.32,63 59 17.63,0.014,9.18,11.44,0.136,3.92,0.69,162.6,6.68,5.44,162.6,14540+63562R
14 21 14.793,63 59 17.24,0.014,1.21,2.43,0.151,8.08,2.76,86.2,9.72,6.06,86.2,14240+63562M
16 5 13.898,63 59 16.38,0.014,2.35,3.53,0.136,4.93,2.52,5.4,7.31,5.96,5.4,16060+63562M
14 54 28.194,63 59 15.64,0.014,1.37,1.25,0.139,0.2,0,91.8,5.4,4.88,91.8,14540+63562R
15 37 33.726,63 59 15.62,0.014,9.11,9.78,0.145,1.85,0.98,21.9,5.71,5.49,21.9,15360+63562M
9 33 59.015,63 59 14.76,0.453,1.25,1.23,0.199,0,0,89.9,5.4,5.27,89.9,09360+63562J
8 18 24.105,63 59 14.68,0.014,8.89,16.32,0.137,7.2,2.5,176.3,9,5.95,176.3,08180+63562R
17 31 3.152,63 59 14.46,0.014,1.61,1.41,0.138,2.84,0,19.4,6.1,4.18,19.4,17300+63562M
9 33 45.629,63 59 13.4,0.08,2.32,2.29,0.205,4.65,0,32.3,7.13,4.04,32.3,09360+63562J
16 21 15.322,63 59 12.74,0.014,35.86,38.48,0.15,1.79,1.03,176.1,5.69,5.5,176.1,16240+63562M
14 27 38.215,63 59 11.09,0.014,5.09,4.6,0.151,0,0,38.9,5.25,5.01,38.9,14300+63562M
8 21 7.18,63 59 11.04,0.014,2.58,2.59,0.152,2.66,0,6.1,6.02,4.85,6.1,08240+63562R
12 13 19.974,63 59 10.97,0.221,1.78,4.35,0.147,8.49,4.61,132.5,10.06,7.1,132.5,12120+63562M
7 52 11.921,63 59 10.53,0.014,2.68,3.26,0.148,3.59,0.91,18.6,6.48,5.48,18.6,07540+63562J
15 58 10.73,63 59 10.35,0.014,7.87,17.54,0.147,9.66,2.31,138,11.07,5.87,138,16000+63562M
13 35 7.445,63 59 10.06,0.014,1.36,0.98,0.136,1.67,0,36.4,5.65,3.72,36.4,13360+63562M
10 5 32.645,63 59 9.71,0.014,1.97,3.02,0.139,5.31,2.46,135.2,7.58,5.93,135.2,10060+63562M
11 44 3.406,63 59 9.64,0.014,1.16,0.96,0.149,0.22,0,176.1,5.4,4.46,176.1,11420+63562M
9 51 35.945,63 59 9.59,0.877,1.05,1.33,0.157,6.23,0,15.1,8.24,4.46,15.1,09540+63562M
12 13 25.967,63 59 9.08,0.16,1.89,2.84,0.148,5.68,1.39,111,7.84,5.58,111,12120+63562M
8 3 47.374,63 59 8.09,0.014,2.87,6.13,0.185,8.65,2.86,93,10.2,6.11,93,08060+63562J
9 34 47.599,63 59 7.43,0.082,1.27,1.13,0.175,2.45,0,27,5.93,4.38,27,09360+63562J
7 21 54.888,63 59 7.38,0.014,2.76,3.79,0.152,3.91,2.64,130.5,6.67,6.01,130.5,07240+63562J
14 55 50.317,63 59 7.33,0.014,2.47,3.2,0.149,5.14,0,12.7,7.45,5.09,12.7,14540+63562R
8 26 15.532,63 59 7.26,0.014,1.63,1.22,0.153,0,0,38.5,5.1,4.27,38.6,08240+63562R
14 22 0.092,63 59 7.16,0.229,1.13,0.74,0.15,0,0,89.8,4.37,4.36,89.8,14240+63562M
6 54 19.316,63 59 6.54,0.014,40.73,42.54,0.135,1.31,0.94,32,5.56,5.48,32,06540+63562J
15 34 38.12,63 59 5.83,0.014,3.41,3.68,0.143,2.01,0.79,9.1,5.76,5.46,9.1,15360+63562M
13 32 46.811,63 59 5.71,0.014,1.44,1.48,0.15,2.09,0,72.3,5.79,5.13,72.3,13300+63562N
7 46 23.584,63 59 5.19,0.014,3.26,5.73,0.145,7.56,1.14,160.2,9.29,5.52,160.2,07480+63562J
14 13 29.539,63 59 4.82,0.014,2.23,2.66,0.142,2.85,1.78,169.3,6.11,5.69,169.3,14120+63562R
15 34 3.237,63 59 4.65,0.014,3.6,3.4,0.149,1.47,0,26.4,5.6,4.92,26.4,15360+63562M
8 7 11.457,63 59 4.5,0.014,2.46,3.71,0.143,6.17,0,5.4,8.2,5.36,5.4,08060+63562J
10 29 41.807,63 59 4.03,0.361,1.02,1.79,0.137,5.99,3.36,141.6,8.07,6.36,141.6,10300+63562M
12 19 56.032,63 59 2.8,0.049,2.95,2.7,0.159,1.34,0,176.2,5.56,4.79,176.2,12180+63562M
14 33 18.336,63 59 2.36,0.014,1.57,1.34,0.152,0,0,90,5.01,4.96,90,14360+63562M
14 13 27.516,63 59 2.21,0.014,3.34,3.9,0.142,2.97,1.22,178.7,6.17,5.54,178.7,14120+63562R
10 19 21.526,63 59 2.04,0.014,9.25,8.65,0.145,0,0,2.6,5.34,5.11,2.6,10180+63562M
16 17 50.554,63 59 1.97,0.014,1.38,1.83,0.134,3.94,2.14,172.1,6.68,5.81,172.1,16180+63562M
15 23 5.952,63 59 1.48,0.014,3.43,4.53,0.139,4.44,1.1,91.2,6.99,5.51,91.2,15240+63562M
16 5 16.311,63 59 0.96,0.014,7.8,9.58,0.136,3.44,1.46,142.3,6.4,5.59,142.3,16060+63562M
16 21 33.479,63 59 0.15,0.195,1.2,1.02,0.152,2.56,0,64.6,5.97,4.16,64.6,16240+63562M
16 21 28.626,63 58 59.02,0.387,1.13,1.98,0.15,6.1,3.2,114.8,8.15,6.27,114.8,16240+63562M
12 53 58.817,63 58 57.72,0.014,4.22,4.31,0.135,1.62,0,129.2,5.64,5.27,129.2,12540+63562R
10 41 39.508,63 58 56.88,0.014,24.44,29.25,0.137,2.81,1.92,23.6,6.09,5.73,23.6,10420+63562M
15 1 5.137,63 58 56.66,0.014,1.85,3.09,0.14,5.48,3.31,12.4,7.69,6.33,12.4,15000+63562M
15 34 37.668,63 58 55.38,0.014,3.61,4.17,0.143,2.74,1.33,15.5,6.05,5.56,15.5,15360+63562M
16 17 51.341,63 58 55.38,0.014,1.14,1.73,0.134,7.63,0,150.9,9.35,4.75,150.9,16180+63562M
15 43 3.647,63 58 53.54,0.014,1.1,1.1,0.137,2.82,0,70.2,6.09,4.76,70.2,15420+63562M
9 38 21.265,63 58 53.46,0.014,2.69,2.79,0.16,2.09,0,3.4,5.79,5.22,3.4,09360+63562J
10 15 55.778,63 58 52.08,0.014,3.38,6.51,0.152,6.7,3.69,153.9,8.6,6.54,153.9,10180+63562M
7 21 33.91,63 58 51.4,0.027,1.33,2.29,0.155,6.78,2.08,37,8.66,5.78,37,07240+63562J
11 50 51.998,63 58 51.08,0.014,1.82,4.28,0.149,9.18,3.49,77.1,10.65,6.43,77.1,11480+63562M
10 8 7.439,63 58 50.24,0.014,2.22,2.17,0.152,1.8,0,88.1,5.69,5.01,88.1,10060+63562M
7 21 35.05,63 58 50.17,0.014,1.47,2.52,0.155,8.31,0,157.2,9.91,5.03,157.2,07240+63562J
17 3 57.92,63 58 49.77,0.014,3.44,3.96,0.149,2.1,2.09,90.1,5.8,5.79,90.1,17060+63562M
7 34 8.835,63 58 49.7,0.014,1.85,2.37,0.149,4.15,1.08,164.7,6.81,5.51,164.7,07360+63562J
8 2 8.118,63 58 49.55,0.014,57.55,68.13,0.212,3,1.44,36,6.18,5.59,36,08000+63562J
6 59 46.879,63 58 49.43,0.014,1.98,1.66,0.137,2.39,0,155,5.9,4.13,155,07000+63562J
16 43 33.31,63 58 49.11,0.014,2.15,2.91,0.146,5.2,0,20.8,7.5,5.27,20.8,16420+63562M
8 12 2.574,63 58 48.84,0.014,2.99,2.91,0.135,2.01,0,30.1,5.76,4.94,30.1,08120+63562J
9 28 54.745,63 58 48.42,0.014,3.77,4.38,0.14,4.03,0,43.6,6.74,5.02,43.6,09300+63562J
11 50 48.375,63 58 48.32,0.379,1.16,3.39,0.15,17.04,0,89.1,17.87,4.78,89.1,11480+63562M
13 7 44.429,63 58 48.08,0.014,2.51,2.11,0.148,0,0,19,5.05,4.86,19,13060+63562M
15 46 18.141,63 58 47.61,0.266,1.25,0.83,0.149,0,0,23,4.93,3.94,23,15480+63562M
8 48 14.161,63 58 47.36,0.097,1.19,1.39,0.137,5.27,0,14.8,7.54,4.52,14.8,08480+63562J
13 41 39.739,63 58 47.29,0.014,1.84,1.59,0.137,1.97,0,50.2,5.75,4.35,50.2,13420+63562M
15 58 6.081,63 58 46.28,0.014,17.55,27.41,0.148,5.65,2.19,76.6,7.81,5.83,76.6,16000+63562M
11 44 20.645,63 58 45.96,0.014,1.45,2.11,0.151,4.91,2.2,99.9,7.3,5.83,99.9,11420+63562M
17 21 0.034,63 58 45.45,0.032,4.35,4.45,0.434,2.15,0,32.7,5.81,5.13,32.7,17240+63562R
12 57 16.664,63 58 44.63,0.014,1.69,1.62,0.151,4.2,0,17,6.84,4.07,17,13000+63562M
16 35 28.018,63 58 44.56,0.014,4.99,4.94,0.135,1.36,0,139.2,5.57,5.18,139.2,16360+63562M
13 15 56.98,63 58 44.31,0.088,1.38,1.16,0.149,1.65,0,1.4,5.65,4.35,1.4,13180+63562N
7 10 22.434,63 58 43.92,0.014,1.92,1.72,0.147,1.34,0,135,5.56,4.73,135,07120+63562J
12 13 32.471,63 58 43.55,0.221,1.7,4.51,0.15,8.93,5.07,165,10.44,7.41,165,12120+63562M
16 43 11.43,63 58 42.91,0.014,28.71,34.38,0.141,2.64,2.14,16.2,6.01,5.81,16.2,16420+63562M
15 0 4.291,63 58 42.89,0.029,1.2,1.3,0.135,4.5,0,17,7.03,4.48,17,15000+63562M
7 21 34.732,63 58 42.08,0.014,2.08,4.89,0.155,7.32,5.26,74.4,9.09,7.54,74.4,07240+63562J
11 5 54.722,63 58 40.68,0.014,7.3,7.61,0.133,1.67,0,62.9,5.65,5.38,62.9,11060+63562M
11 21 40.953,63 58 39.77,0.481,1.04,1.12,0.153,6.42,0,176.5,8.39,3.73,176.5,11240+63562M
14 54 27.328,63 58 39.62,0.014,9.38,9.42,0.136,1.52,0,30.7,5.61,5.22,30.7,14540+63562R
9 32 36.485,63 58 39.3,0.032,2.82,3.3,0.212,2.62,1.8,178,6,5.69,178,09300+63562J
14 39 56.151,63 58 39.22,0.014,2.84,2.63,0.156,1.69,0,11.8,5.66,4.78,11.8,14420+63562M
9 12 23.955,63 58 39.18,0.014,3.21,4.42,0.137,4.2,2.33,96.8,6.84,5.88,96.8,09120+63562J
10 41 37.57,63 58 38.86,0.014,6.85,7.65,0.137,2.08,1.6,89.9,5.79,5.63,89.9,10420+63562M
15 22 12.936,63 58 38.09,0.014,1.67,1.07,0.148,0,0,3.6,5.09,3.66,3.6,15240+63562M
10 36 6.393,63 58 37.43,0.014,2.42,4.81,0.133,8.24,2.32,87.7,9.85,5.88,87.7,10360+63562M
14 13 26.355,63 58 36.86,0.014,1.52,1.77,0.142,4.93,0,160.8,7.31,4.63,160.8,14120+63562R
11 34 17.852,63 58 36.54,0.146,1.29,1.03,0.149,3.5,0,35.9,6.44,3.65,35.9,11360+63562M
11 28 2.33,63 58 36.25,0.014,9.03,9.32,0.165,1,0.93,90,5.49,5.48,90,11300+63562M
9 42 8.959,63 58 35.88,0.014,19.24,19.59,0.137,1.09,0,168.5,5.51,5.39,168.5,09420+63562J
15 28 0.774,63 58 35.09,0.014,3.45,3.51,0.151,2.21,0,1.5,5.84,5.08,1.5,15300+63562M
8 39 8.203,63 58 34.97,0.014,27.47,37.68,0.154,4.61,1.61,54.4,7.1,5.63,54.4,08420+63562J
16 16 51.273,63 58 34.92,0.014,2.6,2.51,0.138,0.45,0,180,5.42,5.22,180,16180+63562M
