RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
13 21 0.984,64 33 53.75,0.014,72.93,216.2,0.159,8.15,7,111.3,9.78,8.84,111.3,13210+64240M
10 20 26.194,64 33 53.41,0.405,1.23,0.9,0.165,0,0,154.4,5.17,4.13,154.4,10210+64240M
7 18 4.907,64 33 52.6,0.014,6.34,5.85,0.16,0,0,90.1,5.2,5.18,90.1,07180+64243J
13 39 44.077,64 33 48.96,0.014,1.38,1.37,0.158,1.64,0,66.7,5.64,5.11,66.7,13390+64240M
13 21 0.04,64 33 47.93,0.014,25.12,161.93,0.156,15.77,9.9,50.3,16.67,11.28,50.3,13210+64240M
10 24 25.518,64 33 47.58,0.719,1.12,0.72,0.162,0,0,12.3,4.93,3.78,12.3,10270+64240M
6 58 36.802,64 33 43.3,0.014,6.66,6.91,0.15,1.45,0.31,12.7,5.59,5.41,12.7,07000+64243J
10 21 16.991,64 33 41.38,0.798,1.06,0.69,0.158,0,0,20.9,5.15,3.74,20.9,10240+64240M
7 3 50.647,64 33 38.9,0.014,3.07,3.12,0.14,2.31,0,152.2,5.87,5.05,152.2,07060+64243J
17 9 40.981,64 33 35.51,0.014,5.72,10.49,0.156,8.45,0,5,10.03,5.33,5,17090+64240M
13 6 14.021,64 33 34.35,0.014,15.56,15.7,0.152,0.57,0.49,89.9,5.43,5.42,89.9,13060+64240M
11 35 44.876,64 33 33.71,0.014,2.35,1.86,0.154,0,0,4.6,5.04,4.58,4.6,11360+64240M
15 55 56.716,64 33 30.64,0.102,1.11,2.07,0.156,5.18,4.86,176.4,7.48,7.26,176.4,15570+64240M
10 6 11.22,64 33 30.59,0.045,1.18,1.13,0.153,3.16,0,27.1,6.26,4.46,27.1,10060+64240M
11 17 0.635,64 33 30.54,0.014,6.48,6.04,0.154,0.37,0,48.8,5.41,5.02,48.8,11180+64240M
14 47 50.221,64 33 29.58,0.017,1.25,1.14,0.152,3.85,0,32.7,6.63,4.01,32.7,14480+64240R
11 34 3.2,64 33 27.22,0.292,1.12,1.16,0.153,5.15,0,20.4,7.46,4.05,20.4,11330+64240M
11 34 4.2,64 33 26.14,0.014,1.78,2.68,0.153,6.87,0,78.7,8.74,5.03,78.7,11330+64240M
15 34 43.514,64 33 25.65,0.014,27.79,35.81,0.157,3.53,2.19,44.2,6.45,5.83,44.2,15360+64240M
11 5 12.226,64 33 25.55,0.014,20.84,21.6,0.153,1.67,0,52.4,5.65,5.35,52.4,11060+64240M
13 16 7.75,64 33 25.45,0.252,1.23,2.12,0.153,6.26,2.89,86.9,8.27,6.12,86.9,13150+64240M
17 9 41.731,64 33 25.28,0.014,7.27,11.21,0.155,4.59,3.33,160,7.08,6.34,160,17090+64240M
7 46 40.738,64 33 22.4,0.877,1.04,1.41,0.15,5,0,40.7,7.36,5.38,40.7,07480+64243J
14 48 22.616,64 33 21.93,0.014,14.37,14.9,0.154,1.11,0.96,0,5.51,5.49,0,14480+64240R
15 34 44.081,64 33 20.31,0.014,26.14,33.6,0.156,3.29,2.44,109.7,6.32,5.93,109.7,15360+64240M
14 48 34.517,64 33 19.28,0.014,2.29,2.17,0.154,1.85,0,16.8,5.71,4.85,16.8,14480+64240R
